article_name,article_id
Áedán mac Gabráin,0
Åland,1
Édouard Manet,2
Éire,3
Óengus I of the Picts,4
€2 commemorative coins,5
10th century,6
11th century,7
12th century,8
13th century,9
14th century,10
15th Marine Expeditionary Unit,11
15th century,12
16 Cygni,13
16 Cygni Bb,14
16th century,15
1755 Lisbon earthquake,16
17th century,17
1896 Summer Olympics,18
18th century,19
1928 Okeechobee Hurricane,20
1973 oil crisis,21
1980 eruption of Mount St. Helens,22
1997 Pacific hurricane season,23
19th century,24
1 Ceres,25
1st century,26
1st century BC,27
2-6-0,28
2-8-0,29
2003 Atlantic hurricane season,30
2004 Atlantic hurricane season,31
2004 Indian Ocean earthquake,32
2005 Atlantic hurricane season,33
2005 Hertfordshire Oil Storage Terminal fire,34
2005 Kashmir earthquake,35
2005 Lake Tanganyika earthquake,36
2005 Sumatra earthquake,37
20th century,38
21st century,39
2nd century,40
3 Juno,41
3rd century,42
4-2-0,43
4-4-0,44
4-6-0,45
47 Ursae Majoris,46
47 Ursae Majoris b,47
47 Ursae Majoris c,48
4 Vesta,49
4th century,50
55 Cancri,51
55 Cancri b,52
55 Cancri c,53
55 Cancri d,54
55 Cancri e,55
5th century,56
6-2-0,57
6th century,58
7th century,59
8th century,60
90377 Sedna,61
9th century,62
A. E. J. Collins,63
ABO blood group system,64
AC DC,65
AIDS,66
AK-47,67
ALCO FA,68
ASCII,69
AT&T,70
ATLAS experiment,71
A Christmas Carol,72
A Tale of a Tub,73
A Wrinkle in Time,74
A cappella,75
Aachen,76
Aardvark,77
Aarhus,78
Abacá,79
Abacus,80
Abadan,81
Abbadid,82
Abbas I of Persia,83
Abbasid,84
Abbey,85
Abbey Theatre,86
Abbot,87
Abel Tasman,88
Aberdeen,89
Aberration of light,90
Aberystwyth,91
Abhidhamma Pitaka,92
Abidjan,93
Abkhazia,94
Able Archer 83,95
Abraham Goldfaden,96
Abraham Lincoln,97
Absinthe,98
Absolute zero,99
Abstract art,100
Abu Dhabi,101
Abuja,102
Acceleration,103
Accountancy,104
Accra,105
Acetic acid,106
Acetone,107
Achilles,108
Achilles tendon,109
Acid rain,110
Acorn Computers,111
Actinium,112
Action potential,113
Actor,114
Acts of Union 1707,115
Actuary,116
Adam Smith,117
Addis Ababa,118
Adelaide,119
Adenosine triphosphate,120
Adi Shankara,121
Adolf Hitler,122
Adriaen van der Donck,123
Advertising,124
Aesthetics,125
Afghan Hound,126
Afghanistan,127
Africa,128
African American literature,129
African Black Oystercatcher,130
African Brush-tailed Porcupine,131
African Buffalo,132
African Darter,133
African Great Lakes,134
African Grey Hornbill,135
African Grey Parrot,136
African Jacana,137
African Penguin,138
African Union,139
African Wild Dog,140
African clawed frog,141
African dwarf frog,142
African slave trade,143
Afrikaans,144
Agamemnon,145
Age of Enlightenment,146
Aggregator,147
Agnosticism,148
Agriculture,149
Airbus,150
Airbus A380,151
Aircraft,152
Aircraft carrier,153
Airship,154
Ajax (programming),155
Akbar,156
Akhenaten,157
Akira Kurosawa,158
Akkadian Empire,159
Akrotiri and Dhekelia,160
Aksumite currency,161
Al Jazeera,162
Alamosaurus,163
Alan Turing,164
Albania,165
Albatross,166
Albert Einstein,167
Alberto Santos-Dumont,168
Albertosaurus,169
Albigensian Crusade,170
Albinism,171
Albrecht Dürer,172
Albrecht Rodenbach,173
Alchemy,174
Alcibiades,175
Alcohol,176
Aleksandr Pushkin,177
Aleksandr Vasilevsky,178
Aleksey Arakcheyev,179
Alexander Graham Bell,180
Alexander Hamilton,181
Alexander the Great,182
Alfred Hitchcock,183
Alfred Nobel,184
Alfred the Great,185
Algebra,186
Algeria,187
Algerian Civil War,188
Algiers,189
Algol,190
Algoma Central Railway,191
Algorithm,192
Alice's Adventures in Wonderland,193
All Blacks,194
All You Need Is Love (The JAMs song),195
All your base are belong to us,196
Allah,197
Allegory in the Middle Ages,198
Alligator,199
Alliterative verse,200
Allosaurus,201
Almaty,202
Almond,203
Alpaca,204
Alphabet,205
Alternating current,206
Alternation of generations,207
Alternative rock,208
Aluminium,209
Aluminium chloride,210
Alzheimer's disease,211
Amaranth oil,212
"Amarillo, Texas",213
Amazon Basin,214
Amazon Rainforest,215
Amazon River,216
Amazon parrot,217
Amber,218
Amda Seyon I,219
American Civil War,220
American English,221
American Revolutionary War,222
American Samoa,223
American football,224
American popular music,225
Americium,226
Amish,227
Ammolite,228
Ammonia,229
Ammonite,230
Ammosaurus,231
Amsterdam,232
Amtrak,233
Amur,234
Anaconda,235
Analytical Marxism,236
Anarchism,237
Anarcho-capitalism,238
Anatomy,239
Ancient Egypt,240
Ancient Greece,241
Ancient Rome,242
Ancient history,243
Andes,244
Andorra,245
Andrés Nocioni,246
Andrew Carnegie,247
Andrew Dickson White,248
Andrew Gonzalez,249
Andrew Jackson,250
Andrew Johnson,251
Andrew Robinson,252
Andriyivskyy Descent,253
Andromeda Galaxy,254
Andy Warhol,255
Anemia,256
Angel shark,257
Angelica,258
Angkor,259
Angkor Wat,260
Anglican Church of Australia,261
Anglican Communion,262
Anglicanism,263
Anglo-Saxon literature,264
Angola,265
Anguilla,266
Animal,267
Animal law,268
Animal rights,269
Animation,270
Ankylosaurus,271
"Ann Arbor, Michigan",272
Anna Karenina,273
Anne Frank,274
Anne of Great Britain,275
Annibale Bugnini,276
Anno Domini,277
Anschluss,278
Ant,279
Antananarivo,280
Antarctic Treaty System,281
Antarctic krill,282
Antarctica,283
Antarctosaurus,284
Anteater,285
Antelope,286
Anthony van Dyck,287
Anthropology,288
Antigua and Barbuda,289
Antimony,290
Antlion,291
Antoine Lavoisier,292
Antonín Dvořák,293
Anton Alexander von Werner,294
Antonio Vivaldi,295
Antwerp,296
Apaochi,297
Apatosaurus,298
Ape,299
Aphid,300
Apollo,301
Apollo 11,302
Apollo 8,303
Apostolic Succession,304
Apple,305
Applied mathematics,306
Apricot,307
Aquarium,308
Arab-Israeli conflict,309
Arab League,310
Arabic language,311
Arable land,312
"Aradia, or the Gospel of the Witches",313
Aral Sea,314
Arcadia (play),315
Archaeoastronomy,316
Archaeology,317
Archaeopteryx,318
Archbishop of Canterbury,319
Archimedes,320
Architecture,321
Architecture of Windows NT,322
Architecture of the California missions,323
Arctic,324
Arctic Circle,325
Arctic Monkeys,326
Arctic Ocean,327
Arctic Tern,328
Arecaceae,329
Argan,330
Argentina,331
Argon,332
Argyle diamond mine,333
Ariel Sharon,334
Aristarchus (crater),335
Aristotle,336
Arithmetic,337
Armadillo,338
"Armand Jean du Plessis, Cardinal Richelieu",339
Armenia,340
Armia Krajowa,341
Arnold Schwarzenegger,342
Arp2 3 complex,343
Ars moriendi,344
Arsenal F.C.,345
Arsenic,346
Art,347
Arthropod,348
Arthur Ernest Percival,349
Arthur Sullivan,350
Arthur Upfield,351
"Arthur Wellesley, 1st Duke of Wellington",352
Arts and crafts,353
Aruba,354
Arugula,355
Ascariasis,356
Asia,357
Asp (reptile),358
Asparagus,359
Asperger syndrome,360
Assyria,361
Astatine,362
Asteroid,363
Asthma,364
Astrology,365
Astronomy,366
Astrophysics Data System,367
Asunción,368
Ateneo de Manila University,369
Athanasius Kircher,370
Atheism,371
Athena,372
Athens,373
Athletics (track and field),374
"Atlanta, Georgia",375
Atlantic Coast Line Railroad,376
Atlantic Ocean,377
Atlantic herring,378
Atlantic slave trade,379
Atlantis,380
Atom,381
Atonality,382
Attack on Pearl Harbor,383
Attalus I,384
Attention-deficit hyperactivity disorder,385
Attila the Hun,386
Auckland,387
"Augusta, Lady Gregory",388
Augustan literature,389
Auguste Rodin,390
Augustine of Hippo,391
Augustus,392
Australia,393
Australian English,394
Australian Green Tree Frog,395
Australian Open,396
Australian Ringneck,397
Australian constitutional law,398
Australian rules football,399
Austria,400
Autism,401
Auto racing,402
Autobianchi Primula,403
Autocracy,404
Automated teller machine,405
Automatic number plate recognition,406
Automobile,407
Autorack,408
Autostereogram,409
Autumn,410
Avacha Volcano,411
Avalanche,412
Avatar  The Last Airbender,413
Avocado,414
Avon Gorge,415
Avro Lancaster,416
Axe,417
Ayaan Hirsi Ali,418
Aye-aye,419
"Aymer de Valence, 2nd Earl of Pembroke",420
Azerbaijan,421
Azerbaijani people,422
Aztec,423
BAE Systems,424
BASIC,425
BBC,426
BBC television drama,427
BP,428
BT Tower,429
B vitamins,430
Babe Ruth,431
Baboon,432
Babur,433
Baby Gender Mentor,434
Babylonia,435
Backgammon,436
Bacteria,437
Baden-Powell House,438
Badger,439
Badminton,440
Badugi,441
Baghdad,442
Bahá'í Faith,443
Bahamas,444
Bahrain,445
Baker Island,446
Bald Eagle,447
Baltic Sea,448
"Baltimore, Maryland",449
Bamako,450
Banana,451
Bandicoot,452
Bangalore,453
Bangkok,454
Bangladesh,455
Banjul,456
Bank of China (Hong Kong),457
Banknote,458
Banksy,459
Bantu,460
Barack Obama,461
Barbados,462
Barbara McClintock,463
Barbary Lion,464
Barbary Macaque,465
Barcelona,466
Barium,467
Barley,468
Barn Owl,469
Barnacle,470
Baroque,471
Barracuda,472
Baruch Spinoza,473
Baseball,474
Basel,475
Basil,476
Basil Brush,477
Basilica of San Francesco d'Assisi,478
Basilica of Santa Maria degli Angeli,479
Basketball,480
Basking shark,481
Bass (fish),482
Basset Hound,483
Bassoon,484
Bat,485
Bat-eared Fox,486
"Bath, Somerset",487
Bath School disaster,488
Batholith,489
Batman,490
Battle of Alesia,491
Battle of Amiens,492
Battle of Austerlitz,493
Battle of Badr,494
Battle of Bicocca,495
Battle of Britain,496
Battle of Cannae,497
Battle of France,498
Battle of Gettysburg,499
Battle of Grunwald,500
Battle of Hastings,501
Battle of Jutland,502
Battle of Lechaeum,503
Battle of Leyte Gulf,504
Battle of Marathon,505
Battle of Midway,506
Battle of Moscow,507
Battle of Normandy,508
Battle of Rennell Island,509
Battle of Sitka,510
Battle of Smolensk (1943),511
Battle of Stalingrad,512
Battle of Tours,513
Battle of Vaslui,514
Battle of Warsaw (1920),515
Battle of the Bulge,516
Battle of the Eastern Solomons,517
Battle of the Little Bighorn,518
Battle of the Santa Cruz Islands,519
Battle of the Somme (1916),520
Battles of the Mexican-American War,521
Bay Area Rapid Transit,522
Bay of Bengal,523
Beach,524
Bean,525
Bear,526
Beatles for Sale,527
Beaver,528
Bedbug,529
Bede,530
Bee,531
Beeching Axe,532
Beekeeping,533
Beep (SWBLW),534
Beer,535
Beet,536
Beetle,537
Behavioral finance,538
Behistun Inscription,539
Beijing,540
Beirut,541
Belarus,542
Belfast,543
Belgium,544
Belize,545
Belton House,546
Ben-Hur (1959 film),547
Ben Jonson,548
Ben Nevis,549
Bench language,550
Benin,551
Benito Mussolini,552
Benjamin Britten,553
"Benjamin Disraeli, 1st Earl of Beaconsfield",554
Benjamin Franklin,555
Benjamin Harrison,556
Benjamin Mountfort,557
Benjamin of Tudela,558
Benzene,559
Berber languages,560
Beriberi,561
Berkelium,562
Berlin,563
Berlin Wall,564
Bermuda,565
Bernard Hinault,566
Bertrand Russell,567
Beryllium,568
Betelgeuse incident,569
Bette Davis,570
Bhutan,571
Bible,572
Bicycle,573
Bicycle Thieves,574
Big Bang,575
Bill Clinton,576
Bill Gates,577
Billie Holiday,578
Binary star,579
Binoculars,580
Binomial nomenclature,581
Biodiesel,582
Biodiversity,583
Biofuel,584
Bioinformatics,585
Biology,586
Bionicle  Mask of Light,587
Biosphere,588
Biotechnology,589
Bird,590
Bird migration,591
Bird of prey,592
Birmingham,593
Birth control,594
Bismuth,595
Bison,596
Bissau,597
Björn Borg,598
Bjørnøya,599
Black-backed Jackal,600
Black-footed Cat,601
Black-winged Stilt,602
Black Death,603
Black Rhinoceros,604
Black Robin,605
Black Sea,606
Black Seminoles,607
Black Wildebeest,608
Black hole,609
Black panther,610
Black pepper,611
Black widow spider,612
Blackbird,613
Blackcap,614
Blackjack,615
Blackpool,616
Blacktip reef shark,617
Blade Runner,618
Blaise Pascal,619
Blitzkrieg,620
Blokus,621
Blood type,622
Blue Jay,623
Blue Peter,624
Blue Tit,625
Blue Whale,626
Blue Wildebeest,627
Blue shark,628
Bluegrass music,629
Bluetooth,630
Boa,631
Board game,632
Boat,633
Bob Dylan,634
Bob Marley,635
Bobcat,636
Body mass index,637
Bodyline,638
Boeing 747,639
Bog,640
Bogotá,641
Bohemian Rhapsody,642
Bohor Reedbuck,643
Bohrium,644
Bolivia,645
Bologna,646
Boltysh crater,647
Bongo (antelope),648
Bonobo,649
Bontebok,650
Booby,651
Book,652
Book of Common Prayer,653
Book of Kells,654
Boolean logic,655
Borage,656
Boris Becker,657
Boron,658
Bosnia and Herzegovina,659
"Boston, Massachusetts",660
Boston RFC,661
Boston Terrier,662
Boston and Lowell Railroad,663
Botany,664
Botswana,665
Bottlenose Dolphin,666
Boudica,667
Boundary Waters Canoe Area Wilderness,668
Bourbonnais train accident,669
Bouvet Island,670
Box jellyfish,671
Boy Scout,672
Boyle Roche,673
Brabantian,674
Brabham,675
Brachiosaurus,676
Brahman,677
Brain,678
Bran,679
Brandon Routh,680
Brasília,681
Brass instrument,682
Bratislava,683
Brazil,684
Bread,685
Breaker Morant,686
Bretton Woods system,687
Brian Close,688
Bridge,689
Brighton,690
Brisbane,691
Bristol,692
British East India Company,693
British Empire,694
British English,695
British House of Commons,696
British Indian Ocean Territory,697
British Isles,698
British Isles (terminology),699
British Virgin Islands,700
British monarchy,701
Britney Spears,702
Broadcasting,703
Bromine,704
Bronze Age,705
Brothers Grimm,706
Brown trout,707
Bruce Lee,708
Bruce Springsteen,709
Brunei,710
Brush,711
Brussels,712
Brute force attack,713
Bryce Canyon National Park,714
Btrieve,715
Bucharest,716
Buckingham Palace,717
Buckminster Fuller,718
Budapest,719
Buddha,720
Buddhism,721
Buddhist art,722
Buenos Aires,723
Buffy the Vampire Slayer,724
Bulgaria,725
Bull shark,726
Burkina Faso,727
Burundi,728
Bushbuck,729
Bushpig,730
Business,731
Butter,732
Button,733
Byzantine Empire,734
C++,735
Cædmon,736
Côte d'Ivoire,737
C. S. Lewis,738
CF7,739
CPU cache,740
CS gas,741
Cactus,742
Cadmium,743
Caesar cipher,744
Caesium,745
Caesium fluoride,746
Cai Lun,747
Cairo,748
Calcite,749
Calcium,750
Calcium chloride,751
Calculus,752
Calgary,753
California,754
California Southern Railroad,755
Californium,756
Calligraphy,757
Caloris Basin,758
Calvin Coolidge,759
Calvin and Hobbes,760
Camarasaurus,761
Cambodia,762
Cambrian,763
Cambrian explosion,764
Cambridge,765
Camel,766
Cameroon,767
Canada,768
Canada Goose,769
Canadian Charter of Rights and Freedoms,770
Canadian English,771
Canadian House of Commons,772
Canadian Pacific Railway,773
Canadian Senate,774
Canadian football,775
Canal,776
Canaletto,777
Canberra,778
Cancer,779
Cane Toad,780
Canola,781
Canterbury,782
Canterbury Cathedral,783
Canute the Great,784
Capacitance,785
Cape Canaveral,786
Cape Horn,787
Cape Lion,788
Cape Porcupine,789
Cape Town,790
Cape Verde,791
Capital,792
Capitalism,793
Capitoline Triad,794
Captain Marvel (DC Comics),795
Caracas,796
Caratacus,797
Caravaggio,798
Carbon,799
Carbon dioxide,800
Carboniferous,801
Carcinus maenas,802
Card game,803
Cardiff,804
Caribbean Sea,805
Carl Friedrich Gauss,806
Carl G. Fisher,807
Carl Jung,808
Carl Lewis,809
Carl Sagan,810
Carlsbad Caverns National Park,811
Carnivore,812
Caroline Island,813
"Carolingian Gospel Book (British Library, MS Add. 11848)",814
Carolus Linnaeus,815
Carrot,816
Casablanca (film),817
Casimir effect,818
Caspian Sea,819
Cassini-Huygens,820
Cassowary,821
Castra,822
Cat,823
Cat's Eye Nebula,824
Cat Stevens,825
Cataract,826
Cataract surgery,827
Cathedral of Magdeburg,828
Catherine Cranston,829
Catherine II of Russia,830
Catholic social teaching,831
Cattle,832
Cave,833
Cayman Islands,834
Celeriac,835
Celery,836
Celine Dion,837
Cell (biology),838
Cello,839
Celtic F.C.,840
Celtic Park,841
Celtic mythology,842
Central African Republic,843
Central processing unit,844
Ceratopsidae,845
Cereal,846
Cerebellum,847
Ceres (dwarf planet),848
Cerium,849
Chad,850
Chadian-Sudanese conflict,851
Chaffinch,852
Channel Islands,853
Charlemagne,854
Charles Babbage,855
Charles Darwin,856
Charles Dickens,857
Charles Etienne Brasseur de Bourbourg,858
Charles II of England,859
Charles I of England,860
Charles Sumner,861
"Charles V, Holy Roman Emperor",862
Charlie Chaplin,863
Charlotte's Web,864
Chartism,865
Che Guevara,866
Cheers,867
Cheese,868
Cheetah,869
Chelsea F.C.,870
Chemical element,871
Chemical synapse,872
Chemistry,873
Chennai,874
Chepstow Bridge,875
Chernobyl disaster,876
Chess,877
Chester A. Arthur,878
Chestnut,879
Chew Magna,880
Chew Stoke,881
Chew Valley,882
Chew Valley Lake,883
Chicago,884
Chicago Bears,885
Chicago and North Western Railway,886
Chicken,887
Child,888
Children's Crusade,889
Children's rights movement,890
Chile,891
Chiltern Hills,892
Chimpanzee,893
China,894
